from;to;weight;season
M05;1;50;2021
FCN;33;300;2019
2VFB;42;;2021
FCAR;5;750;2020
H96;2;40;2020
JI;37;100;2021
DZ;24;60;2018
SCF;15;13;2020
RSCA;23;18;2017
VVT;3;17;2020
HK;16;800;2019
JT;32;15;2021
FCC;6;400;2020
ASM;8;18;2021
FCK;28;;2019
PFC;14;80;2019
AB19;30;30;2018
FCA;11;500;2018
SVS;20;30;2019
IAC;31;17;2019
VFB19;25;;2020
FI;34;;2021
VFLW;10;;2018
FCPG;7;;2019
SCP;22;30;2021
FCM;9;18;2019
SL;18;500;2022
VFLW;17;;2021
VB;19;50;2021
VFB19;50;;2022
VFB2;44;;2021
1;Deutschland;;
33;Deutschland;;
42;Deutschland;;
5;England;;
2;Deutschland;;
37;Japan;;
24;Kroatien;;
15;Deutschland;;
23;Belgien;;
3;Belgien;;
16;Deutschland;;
32;Italien;;
6;England;;
8;Monaco;;
28;Deutschland;;
14;Frankreich;;
30;Deutschland;;
11;Deutschland;;
20;Deutschland;;
31;Spanien;;
25;Deutschland;;
34;Türkei;;
10;Deutschland;;
7;Frankreich;;
22;Deutschland;;
9;Österreich;;
18;Portugal;;
17;Deutschland;;
19;Dänemark;;
50;Deutschland;;
44;Deutschland;;
