id;name;country;type
M05;Mainz 05;Deutschland;2
1;Florian Müller;Deutschland;1
FCN;1.FC Nürnberg;Deutschland;2
33;Fabian Bredlow;Deutschland;1
2VFB;2.VFB Stuttgart;Deutschland;2
42;Florian Schock;Deutschland;1
FCAR;FC Arsenal;England;2
5;Konstantinos Mavropanos;Griechenland;1
H96;Hannover 96;Deutschland;2
;;Usbekistan;1
2;Waldemar Anton;Deutschland;1
JI;Jublio Iwata;Japan;2
37;Hiroki Ito;Japan;1
DZ;GNK Dinamo Zagreb;Kroatien;2
;;Kroatien;
24;Borna Sosa;Deutschland;1
SCF;SC Freiburg;Deutschland;2
15;Pascal Stenzel;Deutschland;1
RSCA;RSC Anderlecht U21;Belgien;2
;;Belgien;1
23;Orel Mangala;Kongo;1
VVT;St VV Truiden;Belgien;2
3;Wataru Endo;Japan;1
HK;Holstein Kiel;Deutschland;2
16;Atakan Karazor;Deutschland;1
JT;Juventus Turin;Italien;2
;;Frankreich;1
32;Naouriou Ahamada;Konmoren;1
FCC;FC Chelsea U23;England;2
;;Kongo;1
6;Clinton Mola;England;1
ASM;AS Monaco;Monaco;2
;;Frankreich;1
8;Enzo Millot;Martinique;1
FCK;1. FC Köln;Deutschland;2
;;Dänemark;1
28;Nikolas Nartey;Ghana;1
PFC;Paris FC;Frankreich;2
14;Silas Katompa Mvumpa;Kongo;1
AB19;Arminia Bielefeld U19;Deutschland;2
;;Deutschland;1
30;Roberto Massimo;Italien;1
FCA;FC Augsburg;Deutschland;2
11;Erik Thommy;Deutschland;1
SVS;SV Sandhausen;Deutschland;2
20;Philipp Förster;Deutschland;1
IAC;Instituto AC Córdoba;Spanien;2
;;Argentinien;1
31;Mateo Klimowicz;Deutschland;1
VFB19;VFB Stuttgart U19;Deutschland;2
25;Lilian Egloff;Deutschland;1
FI;Fenerbahce Istanbul;Türkei;2
34;Ömer Beyaz;Türkei;1
VFLW;VFL Wolfsburg;Deutschland;2
;;Deutschland;1
10;Daniel Didavi;Benin;1
FCPG;FC Paris Saint-Germain U19;Frankreich;2
;;Frankreich;1
7;Tanguy Coulibaly;Irland;1
SCP;SC Paderborn 07;Deutschland;2
22;Chris Führich;Deutschland;1
FCM;FC Admira Wacker Mödling;Österreich;2
;;Österreich;1
9;Sasa Kalajdzic;Serbien;1
SL;Sporting Lissabon;Portugal;2
18;Tiago Tomas;Portugal;1
VFLW1;VFL Wolfsburg;Deutschland;2
;;Ägypten;1
17;Omar Marmoush;Kanada;1
VB;Vejle Boldklub;Dänemark;2
;;Dänemark;1
19;Wahid Faghir;Afghanistan;1
VFBS19;VfB Stuttgart U19;Deutschland;2
;;Frankreich;1
50;Alexis Tibidi;Kamerun;1
VFB2;VfB Stuttgart II;Deutschland;2
;;Niederlande;1
44;Mohammed Sankoh;Sierra Leone;1
